roles,companies,locations,experience,skills
Data Scientist,Ignitho,Chennai,3-7 Yrs,"machine learning
data collection
sage
data mining
digital marketing
big data
analytics
sql"
Data Scientist,Ignitho,Mumbai,3-7 Yrs,"data analysis
data science
neural networks
analytical
machine learning
data collection
data mining
big data"
Data Scientist,Ignitho,"Noida, Greater Noida",1-5 Yrs,"operations research
analytical
machine learning
data visualization
data mining
business intelligence
revenue generation
sql"
DATA SCIENTIST - DL/ML,Ignitho,Hyderabad,1-5 Yrs,data scientist - dl/ml
Data Scientist (Python),Ignitho,Hyderabad,2-7 Yrs,"python
data"
Data Scientist,Ignitho,Gurugram,3-7 Yrs,"data analysis
data science
coding
machine learning
scala
spss
operations
analytics"
Data Scientist,Ignitho,"Varanasi, Kannur, Mumbai, New Delhi",1-3 Yrs,"statistical modeling
tableau
coding
analytical
machine learning
power bi
calculus
data visualization"
Data Scientist,Ignitho,Jaipur,2-6 Yrs,data scientist
Data Scientist,Ignitho,Mumbai,1-6 Yrs,"data analysis
mis
quality
analysis
data"
DATA SCIENTIST,Ignitho,Hyderabad,10-20 Yrs,"training
telecom
deep learning
product engineering
usage
coding
machine learning
statistics"
Data Scientist,Ignitho,Hyderabad,2-4 Yrs,"career development
mediclaim
statistical analysis
venture capital
e-commerce
deployment
gaming
private equity"
Data Scientist,Ignitho,Solan,3-5 Yrs,"computer science
data analysis
sas
coding
data structures
data processing
data mining
business solutions"
Data Scientist,Ignitho,Chennai,2-9 Yrs,"machine learning
data collection
data visualization
collections
data
machine"
Data Scientist (Machine Learning / AI),Ignitho,Kolkata,5-8 Yrs,"deep learning
team management
data science
neural networks
machine learning
programming
python
science"
Data Scientist,Ignitho,Noida,3-7 Yrs,"computer science
data analysis
publishing
neural networks
machine learning
predictive modeling
data mining
business solutions"
Data Scientist,Ignitho,Hyderabad,4-7 Yrs,"unix
computer science
data analysis
linux
project management
process improvement
wellness
data mining"
Data Scientist,Ignitho,Pune,8-9 Yrs,"computer science
remediation
root cause analysis
data analysis
data science
machine learning
research
wifi"
Data Scientist,Ignitho,Chennai,3-7 Yrs,"usage
machine learning
data collection
sage
data mining
digital marketing
big data
analytics"
Data Scientist,Ignitho,Pune,7-12 Yrs,"sas
machine learning
hypothesis testing
statistics
python
software testing
machine
hypothesis"
Data Scientist,Ignitho,Chennai,5-10 Yrs,"data analysis
prototype
analytical
machine learning
perl
data mining
matlab
forecasting"
Data Scientist,Fusion Plus Solutions,Hyderabad,3-14 Yrs,"training
hive
deep learning
aws
sql
python
data"
Data Scientist,Fusion Plus Solutions,Hyderabad,3-6 Yrs,"deep learning
version control
gcp
quality testing
machine learning
high performance computing
big data
sql"
Data Scientist,Fusion Plus Solutions,Hyderabad,1-10 Yrs,"deep learning
version control
quality testing
machine learning
high performance computing
budgeting
big data
sql"
Data Scientist,Fusion Plus Solutions,Hyderabad,3-6 Yrs,"deep learning
data science
devops
machine learning
cloud
data collection
infrastructure
deployment"
Data Scientist IV - Python/LLM,Fusion Plus Solutions,Hyderabad,6-8 Yrs,"data science
bigquery
data scientist
data management
jupyter
llm
python
science"
Data Scientist,Fusion Plus Solutions,Chennai,3-9 Yrs,"deep learning
business analyst
data science
machine learning
scala
programming
data processing
e-commerce"
Data Scientist,Fusion Plus Solutions,Hyderabad,2-4 Yrs,"medical devices
industrial biotechnology
management consulting
life sciences
asset management
advisory
spectrum
industrial"
Data Scientist,Fusion Plus Solutions,Pune,3-7 Yrs,"computer science
data analysis
construction
usage
nosql
data science
analytical
machine learning"
Data Scientist,Fusion Plus Solutions,Kolkata,2-5 Yrs,"tableau
sas
machine learning
microsoft azure
model development
qlikview
open source
analytics"
ML Data Scientist,Fusion Plus Solutions,Coimbatore,5-10 Yrs,"gis
computer vision
data analysis
version control
gcp
machine learning
natural language processing
monitoring"
Data Scientist,Fusion Plus Solutions,Thane,2-5 Yrs,"data analysis
sas
project management
analytical
predictive modeling
data mining
operations
analytics"
Data Scientist,Fusion Plus Solutions,Hyderabad,3-7 Yrs,"python
modeling
data analysis
sas
data manipulation
data mining
spss
predictive"
Data Scientist,Fusion Plus Solutions,Hyderabad,3-7 Yrs,"san
coding
analytical
machine learning
data collection
data structures
natural language processing
data mining"
Data Scientist,Fusion Plus Solutions,Pune,5-7 Yrs,"san
data analysis
data modeling
analytical
data quality
crm
python
analysis"
Data Scientist,Fusion Plus Solutions,New Delhi,3-6 Yrs,"computer science
analytical skills
data analysis
data science
machine learning
data quality
natural language processing
data visualization"
Data Scientist,Fusion Plus Solutions,New Delhi,1-5 Yrs,"c++
analytical
scala
data collection
data analyst
data visualization
business intelligence
data mining"
Data Scientist,Fusion Plus Solutions,bhubaneswar,4-7 Yrs,"computer science
policies
data management
machine learning
service
perl
spss
qlikview"
Data Scientist,Fusion Plus Solutions,Gurugram,2-7 Yrs,"deep learning
nosql
gcp
social media
django
machine learning
data structures
data mining"
Data Scientist,Fusion Plus Solutions,Remote,3-7 Yrs,"computer science
automation
analytical
machine learning
natural language processing
data visualization
biomedical
sql"
Data Scientist,Fusion Plus Solutions,Gurugram,3-5 Yrs,"logistic regression
deep learning
rdbms
neural networks
analytical
machine learning
forecasting
sql"
Data Scientist,Hookfish.in,Mumbai,4-8 Yrs,"graphics
administration
sales operations
strategic planning
php
entrepreneur
business strategy
budgeting"
Data Scientist Computer Vision,Hookfish.in,New Delhi,4-6 Yrs,"process automation
computer science
electrical engineering
computer vision
c++
aviation
algorithm development
programming"
Data Scientist,Hookfish.in,Hyderabad,5-8 Yrs,"healthcare
power bi
data
bi"
Data Scientist,Hookfish.in,Hyderabad,5-7 Yrs,"computer science
c++
payroll
usage
google analytics
coding
machine learning
javascript"
Data Scientist,Hookfish.in,Lucknow,1-3 Yrs,"c++
operations research
analytical
artificial intelligence
machine learning
data visualization
business intelligence
statistics"
Specialist Data Scientist,Hookfish.in,Ahmedabad,4-6 Yrs,"computer science
business communication
data analysis
data modeling
analytical
market research
econometrics
forecasting"
Data Scientist,Hookfish.in,New Delhi,3-7 Yrs,"computer science
analytical
python
science
data
analytics
computer"
Data Scientist,Hookfish.in,Gurugram,5-7 Yrs,"text mining
logistic regression
software design
prototype
analytical
machine learning
social networking
predictive modeling"
Data Scientist,Hookfish.in,Remote,1-10 Yrs,"data analysis
prototype
coding
analytical
machine learning
flex
algorithm development
analytics"
Data Scientist,Hookfish.in,Coimbatore,3-8 Yrs,"computer languages
data analysis
neural networks
machine learning
packaging
sez
predictive modeling
data visualization"
Data Scientist,Hookfish.in,Remote,3-7 Yrs,"version control
git
artificial intelligence
machine learning
natural language processing
data visualization
internship
python"
Data Scientist,Hookfish.in,Remote,5-6 Yrs,"computer vision
deep learning
data analysis
analytical
artificial intelligence
machine learning
linear regression
data visualization"
Data Scientist,Hookfish.in,Remote,4-9 Yrs,"computer science
operations research
data science
gcp
machine learning
sage
data mining
aws"
Data Scientist,Hookfish.in,Remote,3-7 Yrs,"computer science
data science
sql database
coding
business analytics
r programming
machine learning
hadoop"
Data Scientist,Hookfish.in,Hyderabad,3-7 Yrs,"computer vision
version control
gcp
artificial intelligence
machine learning
internship
forecasting
sql"
Data Scientist,Hookfish.in,Hyderabad,3-8 Yrs,"genomics
machine learning
healthcare
research
biomedical
bioinformatics
data
machine"
Data Scientist,Hookfish.in,Hyderabad,5-10 Yrs,"computer science
backend
analytical
machine learning
data quality
risk management
ms office
data mining"
Data Scientist,Hookfish.in,Chennai,3-6 Yrs,"san
analytical
soc
machine learning
information technology
sql
python
crm"
Data Scientist,Hookfish.in,Hyderabad,2-7 Yrs,"printing
deep learning
pdf
linux
image processing
machine learning
open source
big data"
Data Scientist,Hookfish.in,Coimbatore,2-7 Yrs,"ms sql
git
manager quality assurance
analytical
machine learning
social networking
manager technology
data quality"
Data Scientist,Callaway Digital Technologies,Hyderabad,3-6 Yrs,"e-commerce
accounting
data"
Data Scientist,Callaway Digital Technologies,Noida,3-7 Yrs,"computer vision
deep learning
prototype
neural networks
analytical
machine learning
research
forecasting"
Data Scientist,Callaway Digital Technologies,Hyderabad,2-6 Yrs,"machine learning
data collection
data visualization
collections
machine
data"
Data Scientist,Callaway Digital Technologies,New Delhi,3-7 Yrs,"algorithms
python
modeling
data analysis
data analytics
natural language processing
data mining
predictive"
Data Scientist,Callaway Digital Technologies,New Delhi,5-10 Yrs,"computer science
cloud computing
data analysis
data science
neural networks
artificial intelligence
machine learning
signal processing"
Data Scientist,Callaway Digital Technologies,Mumbai,8-10 Yrs,"payroll
data modeling
mysql
php
process lead
system administrator
sql
salesforce"
Data Scientist,Callaway Digital Technologies,"Kochi, Thiruvananthapuram",2-6 Yrs,"data analysis
process optimization
excel
time management
data collection
product sales
data mining
powerpoint"
Data scientist,Callaway Digital Technologies,Gurugram,4-8 Yrs,"hardware testing
computer hardware
testing
computer
data
hardware
software testing"
Data Scientist,Callaway Digital Technologies,Noida,5-10 Yrs,"it services
data analysis
sas
data modeling
analytical
consulting
mysql
data processing"
Data Scientist,Callaway Digital Technologies,Not Specified,2-7 Yrs,"help desk
customer service
customer relationship
access controls
telephony support
asset management
vendor management
information"
Data Scientist,Callaway Digital Technologies,Noida,4-7 Yrs,"algorithms
python
modeling
data analysis
data analytics
natural language processing
predictive
machine learning"
Pricing Data Scientist,Callaway Digital Technologies,New Delhi,2-5 Yrs,"hospitality
senior management
postgresql
mysql
integration testing
pricing strategy
programming
advanced excel"
Pricing Data Scientist,Callaway Digital Technologies,New Delhi,2-7 Yrs,"hospitality
senior management
postgresql
mysql
integration testing
pricing strategy
programming
advanced excel"
Data Scientist,Callaway Digital Technologies,Hyderabad,2-5 Yrs,"bpo
computer science
operations research
staffing
pharma
consulting
hadoop
industrial engineering"
Data Scientist,Callaway Digital Technologies,Hyderabad,8-13 Yrs,"bpo
rf
image processing
staffing
pharma
artificial intelligence
consulting
machine learning"
Data Scientist,Callaway Digital Technologies,Hybrid - Chennai,5-10 Yrs,"natural language processing
aiml
artificial intelligence
machine learning
python
process
machine
languages"
Data Scientist,Callaway Digital Technologies,"Dehradun, Hyderabad, Gurugram",2-5 Yrs,"data analysis
bidding
linux
data science
shell scripting
mentor
calculus
analysis"
Data Scientist - Mortgage Finance,Callaway Digital Technologies,Hyderabad,3-8 Yrs,"business process
computer science
back office
data analytics
data visualization
data mining
powerpoint
macros"
Data Scientist,Callaway Digital Technologies,Mumbai,3-7 Yrs,"data science
machine learning
data visualization
business case
analytics
financial services
sql
python"
Data Scientist,Callaway Digital Technologies,Hyderabad,1-5 Yrs,"data analysis
data science
clinical operations
machine learning
healthcare
wellness
health management
sql"
Data Scientist,Hitachi Solutions,Pune,2-5 Yrs,"computer science
computer vision
data analysis
operational excellence
data science
artificial intelligence
machine learning
distribution system"
Data Scientist,Hitachi Solutions,Pune,8-10 Yrs,"remediation
root cause analysis
data analysis
data science
machine learning
research
wifi
sql"
Data Scientists,Hitachi Solutions,Pune,3-7 Yrs,"computer vision
medical imaging
linux
data science
neural networks
machine learning
programming
manager technology"
Data Scientist,Hitachi Solutions,Pune,4-7 Yrs,"product management
data analysis
database
manager technology
research
project design
data
project"
Data Scientist,Hitachi Solutions,Pune,4-8 Yrs,"training
deep learning
backend
linux
artificial intelligence
machine learning
transformers
deployment"
Data Scientist,Hitachi Solutions,Delhi,5-9 Yrs,"logistic regression
factor analysis
algorithms
simulation
analytical
tools
healthcare
forecasting"
Data Scientist,Hitachi Solutions,Noida,5-10 Yrs,"text mining
coding
neural networks
machine learning
javascript
data collection
data mining
analytics"
Data Scientist (Power BI),Hitachi Solutions,Ahmedabad,4-9 Yrs,"computer science
c++
simulation
project management
machine learning
business intelligence
data mining
analytics"
Data Scientist,Hitachi Solutions,Gurugram,3-6 Yrs,"statistical analysis
linux
sql database
machine learning
mathematics
research
management
statistics"
Data Scientist,Hitachi Solutions,Pune,3-5 Yrs,"training
data science
machine learning
data collection
programming
data quality
natural language processing
data visualization"
Data Scientist,Hitachi Solutions,New Delhi,3-8 Yrs,"data science
analytical
machine learning
data quality
research
quality
machine
data"
Data Scientist,Hitachi Solutions,New Delhi,6-11 Yrs,"data analysis
sds
nutrition
coding
sensors
data mining
matlab
sql"
Data Scientist,Hitachi Solutions,Pune,5-6 Yrs,"supply chain
computer science
business process
prototype
gcp
artificial intelligence
machine learning
data mining"
Data Scientist,Hitachi Solutions,Hyderabad,2-7 Yrs,"mining
computer science
computer vision
data analysis
gcp
machine learning
natural language processing
monitoring"
Data Scientist,Hitachi Solutions,Pune,2-4 Yrs,"microstrategy
business analysis
ssrs
olap
unit testing
ssis
business intelligence
microsoft"
Data Scientist,Hitachi Solutions,Hyderabad,2-5 Yrs,"algorithms
python
natural language processing
neural networks
predictive analytics
machine learning
artificial intelligence
text analytics"
Data Scientist (Products),Hitachi Solutions,Remote,1-5 Yrs,"product analyst
machine learning
sql
python
machine
product analysis
production
data"
data scientist - biotechnology Jobs,Hitachi Solutions,New Delhi,2-5 Yrs,"mining
evaluation
data analysis
analytical
kpo
research
business intelligence
operations"
Data Scientist,Hitachi Solutions,Kochi,3-8 Yrs,"computer science
sas
business analyst
data modeling
machine learning
mathematics
big data
matlab"
Data Scientist,Hitachi Solutions,Mumbai,2-7 Yrs,"algorithms
python
modeling
data analysis
data analytics
natural language processing
predictive
machine learning"
Data Scientist,Birdeye,Gurugram,1-2 Yrs,"computer science
gcp
analytical
social media
machine learning
silicon
customer experience
salesforce"
Data Scientist,Birdeye,Mohali,1-3 Yrs,"san
operations research
analytical
data mining
business intelligence
crm
sql
intelligence"
Data Scientist,Birdeye,Gurugram,2-7 Yrs,"hospitality
computer vision
deep learning
machine learning
manager technology
facility management
monitoring
sql"
Data Scientist,Birdeye,"Hyderabad, Pune, Gurugram",5-10 Yrs,"computer vision
data analysis
neural networks
analytical
artificial intelligence
machine learning
data collection
natural language processing"
Data Scientist,Birdeye,Jhansi,5-10 Yrs,"algorithms
python
modeling
data analysis
data analytics
natural language processing
predictive
machine learning"
Data Scientist,Birdeye,Thiruvananthapuram,2-7 Yrs,"data science
science
data"
Data Scientist III,Birdeye,"Tirodi, Mumbai",3-5 Yrs,"deep learning
data analysis
data science
amazon redshift
machine learning
predictive modeling
analytics
sql"
Data Scientist AI / ML,Birdeye,Hyderabad,4 Yrs,"algorithms
python
deploying models
natural language processing
bert
machine learning
text analytics
unsupervised learning"
Data Scientist,Birdeye,Pune,2-7 Yrs,"data scientist
professional"
Data Scientist,Birdeye,Hyderabad,2-7 Yrs,"data scientist
professional"
Data Scientist,Birdeye,Hyderabad,2-4 Yrs,"logistic regression
data analysis
coding
javascript
predictive modeling
information management
data mining
business solutions"
Data Scientist,Birdeye,Tiruchirapalli,3-4 Yrs,"it services
computer vision
deep learning
neural networks
machine learning
continuous improvement
analytics
python"
Data Scientist,Birdeye,Pune,3-7 Yrs,"machine learning
programming
data visualization
python
machine
data
program"
Data Scientist,Birdeye,"Salem, Coimbatore",3-7 Yrs,"algorithms
python
modeling
data analysis
natural language processing
predictive
machine learning
data collection"
Data Scientist,Birdeye,Mumbai,3-5 Yrs,"statistical programming
data science
analytical
machine learning
data collection
data visualization
data mining
sql"
Data Scientist,Birdeye,Mumbai,2-5 Yrs,"unix
supply chain
computer science
c++
data science
linux
data management
analytical"
Data Scientist,Birdeye,Hyderabad,8-13 Yrs,"advanced analytics
product engineering
business transformation
technology consulting
machine learning
silicon
medical insurance
forecasting"
Data Scientist,Birdeye,Ahmedabad,2-5 Yrs,"deep learning
sql database
risk assessment
investment strategies
programming
mathematics
risk management
forecasting"
Data Scientist,Birdeye,Pune,2-7 Yrs,"data science
data scientist
data analytics
data
science
analytics"
Data Scientist ( ML & DL ),Birdeye,Tirupati,2-3 Yrs,"ticketing
coding
xml
internet marketing
customer service
troubleshooting
microsoft
photoshop"
Data Scientist,Crosscope,Mumbai,6-11 Yrs,"linux
gcp
machine learning
conceptualization
html
monitoring
analytics
python"
Data Scientist,Crosscope,New Delhi,3-5 Yrs,"computer science
automation
git
linux
aviation
mysql
machine learning
agile"
Data Scientist,Crosscope,Hyderabad,6-12 Yrs,"location: hyderabad
data scientist
experience: 6-12 yrs"
Data Scientist - Healthcare,Crosscope,Remote,8-13 Yrs,"telecom
data science
enterprise applications
consulting
machine learning
healthcare
data mining
open source"
Data Scientist,Crosscope,Remote,5-8 Yrs,"computer science
data analysis
usage
data science
data manipulation
focus
machine learning
deployment"
Data Scientist,Crosscope,Gurugram,1-3 Yrs,"skills
algorithms
data-mining
c
analytical
and
matlab
solid"
Data Scientist,Crosscope,Chennai,5-10 Yrs,"training
it training
side
data"
Data Scientist,Crosscope,Hyderabad,2-4 Yrs,"training
career development
health insurance
deep learning
stock exchange
gcp
machine learning
gaming"
Data Scientist,Crosscope,Pune,3-6 Yrs,"san
data analysis
data science
machine learning
manager technology
medical insurance
distribution system
monitoring"
Data Scientist,Crosscope,"Prayagraj, Varanasi, Ghaziabad, Kanpur, Lucknow, Agra",2-7 Yrs,"operations research
machine learning
scala
data collection
data analyst
data visualization
data mining
sql"
Data Scientist / Visualizer,Crosscope,Mumbai,4-5 Yrs,"tableau
data science
data analytics
data visualization
research
business intelligence
advertising
forecasting"
Data Scientist,Crosscope,New Delhi,3-7 Yrs,"operations research
prototype
coding
machine learning
data analytics
data mining
sql
python"
Data Scientist,Crosscope,"Kochi, Kochi",3-8 Yrs,"sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
Data Scientist,Crosscope,Pune,3-8 Yrs,"computer science
statistical analysis
analytical
artificial intelligence
machine learning
credit risk analysis
predictive modeling
mathematics"
Data Scientist,Crosscope,Mumbai,4-7 Yrs,"product management
cloud computing
software design
prototype
simulation
contract management
analytical
machine learning"
Data Scientist,Crosscope,Pune,5-10 Yrs,"microstrategy
computer science
san
google analytics
data science
linux
machine learning
agile"
Data Scientist,Crosscope,Chennai,4-9 Yrs,"computer science
data analysis
data science
machine learning
hypothesis testing
power bi
model development
data quality"
AI Data Scientist,Crosscope,Coimbatore,3-8 Yrs,"erp
statistical modeling
data science
analytical
machine learning
customer relationship
big data
team building"
Data Scientist,Crosscope,Kochi,3-8 Yrs,"sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
Data Scientist,Crosscope,Gurugram,2-7 Yrs,"predictive modeling
business solutions
revenue generation
monitoring
testing
software testing
predictive
modeling"
Data Scientist,Optimum Solutions,Mumbai,4-8 Yrs,"text mining
deep learning
neural networks
spark
machine learning
forecasting
aws
sql"
Data Scientist,Optimum Solutions,Remote,3-7 Yrs,"statistical programming
logistic regression
machine learning
programming
deployment
statistics
python
data"
Data Scientist,Optimum Solutions,Hyderabad,2-7 Yrs,"operations research
tableau
data science
analytical
machine learning
hadoop
scala
data analyst"
Data Scientist,Optimum Solutions,New Delhi,2-7 Yrs,"coding
gcp
project management
underwriting
analytical
monitoring
sql
python"
Data Scientist,Optimum Solutions,New Delhi,1-3 Yrs,"data visualization
data mining
data"
Data Scientist,Optimum Solutions,Hyderabad,5-10 Yrs,"gis
data science
programming
deployment
transformers
python
science
program"
Data Scientist,Optimum Solutions,Chennai,2-4 Yrs,"github
version control
neo4j
opencv
machine learning
cloud
database
deployment"
Data Scientist,Optimum Solutions,Pune,3-8 Yrs,"backend
front end
html5
mysql
javascript
routing
management
ios"
Data Scientist,Optimum Solutions,Hyderabad,1-4 Yrs,"graphics
machine learning
data collection
data structures
scrum
agile methodology
data visualization
analytics"
Data Scientist,Optimum Solutions,Kolkata,1-6 Yrs,"statistical analysis
data science
gcp
data modeling
agile development
programming
digital transformation
sql"
Data Scientist,Optimum Solutions,Pune,3-7 Yrs,"hvac
automation
data analysis
gcp
control system
machine learning
data collection
sql"
Data Scientist,Optimum Solutions,Gurugram,1-6 Yrs,"health insurance
operations research
analytical
machine learning
data analytics
data mining
business intelligence
recruitment"
Data Scientist,Optimum Solutions,"Mumbai, Guntur",2-5 Yrs,"unix
computer science
deep learning
c++
sas
sap fiori
analytical
machine learning"
Data Scientist,Optimum Solutions,Hyderabad,2-6 Yrs,data scientist
Data Scientist,Optimum Solutions,Kochi,3-8 Yrs,"sap
data management
data mining
solutions
operations research
api
machine learning
sql"
Data Scientist,Optimum Solutions,Hyderabad,4-10 Yrs,"c++
ms sql
data modeling
mysql
olap
oracle
business intelligence
middleware"
Data Scientist,Optimum Solutions,Noida,2-7 Yrs,data scientist
Data Scientist Machine Learning/Python/R,Optimum Solutions,Remote,3-8 Yrs,"sas
data modeling
machine learning
ssrs
plsql
data mining
cosmos
infrastructure services"
Azure SQL DBA - Data Scientist,Optimum Solutions,Mumbai,6-11 Yrs,"automation
linux
networking
ssrs
plsql
apache
ssis
microsoft"
Data Scientist ( RDBM ),Optimum Solutions,Gurugram,4-9 Yrs,"rdbms
reporting services
ssrs
power bi
integration services
ssis
microsoft
analytics"
Data Scientist,Globant,Pune,8-12 Yrs,"artificial intelligence
machine learning
python
machine
data
intelligence"
Data Scientist,Globant,Hyderabad,1-12 Yrs,"deep learning
version control
gcp
quality testing
machine learning
high performance computing
big data
sql"
Data Scientist,Globant,New Delhi,2-6 Yrs,"computer science
rf
analytical
machine learning
healthcare
qlikview
matlab
monitoring"
Data Scientist,Globant,Hyderabad,3-6 Yrs,"data modeling
data manipulation
web application
programming
data visualization
monitoring
reporting tools
sql"
Data Scientist,Globant,Hyderabad,3-5 Yrs,"networking
spark
agile
infrastructure
deployment
management
test cases
aws"
Data Scientist,Globant,Mumbai,5-10 Yrs,"logistic regression
data science
neural networks
machine learning
actuarial
mathematics
customer experience
forecasting"
Data Scientist,Globant,Chennai,5-10 Yrs,"biometrics
text mining
computer vision
nosql
machine learning
scala
mongodb
natural language processing"
Data Scientist,Globant,Remote,5-10 Yrs,"computer science
c++
data analysis
coding
project management
machine learning
flex
product design"
Data Scientist,Globant,Noida,2-5 Yrs,"telecom
c++
operations research
sas
artificial intelligence
machine learning
healthcare
spss"
Data Scientist,Globant,Chennai,2-4 Yrs,"computer science
r programming
machine learning
hadoop
perl
data mining
statistics
python"
Data Scientist,Globant,Ahmedabad,3-7 Yrs,"gis
data analysis
rdbms
coding
project management
machine learning
data structures
matlab"
Data Scientist,Globant,"Kolkata, Mumbai, Jamshedpur",2-4 Yrs,"mining
supply chain
computer science
data analysis
operations research
coding
artificial intelligence
machine learning"
Data Scientist,Globant,Mumbai,2-7 Yrs,"text mining
c++
data analysis
prototype
neural networks
cloud services
artificial intelligence
machine learning"
Data Scientist,Globant,Pune,4-5 Yrs,"unix
it services
performance tuning
linux
neural networks
machine learning
forecasting
preventive maintenance"
Data Scientist,Globant,Hyderabad,3-5 Yrs,"big data analytics
machine learning
linear regression
data structures
natural language processing
predictive modeling
pattern recognition
data mining"
Data Scientist,Globant,Lucknow,3-8 Yrs,"computer science
sas
gcp
analytical
machine learning
flex
risk management
statistics"
Data Scientist Jobs,Globant,Noida,1-5 Yrs,"visualization
analytical
calculus
business intelligence
forecasting
sql
python
analyticssoftware services"
Data Scientist,Globant,Ahmedabad,1-6 Yrs,"github
web technologies
architecture
artificial intelligence
machine learning
php
customer experience
internship"
Data scientist,Globant,Chennai,2-7 Yrs,"training
deep learning
web services
coding
process improvement
machine learning
deployment
aws"
Data Scientist,Globant,Noida,5-10 Yrs,"statistical analysis
sas
database management
data collection
html
wps
manager quality control
data mining"
DATA SCIENTIST,Tech27,Kozhikode,3-8 Yrs,"c++
sql database
analytical
machine learning
javascript
calculus
windows
analytics"
Data Scientist,Tech27,Chennai,5-10 Yrs,"hive
spark
scala
hadoop
application development
data analytics
teradata
sql"
Data Scientist,Tech27,"Kochi, Hyderabad",5-9 Yrs,"analyst
statistical modeling
machine learning
database
power bi
ict
data mining
data warehousing"
Data Scientist,Tech27,Chennai,5-8 Yrs,"data science
statistical modelling
machine learning
machine
statistical modeling
modeling
data
science"
Data Scientist,Tech27,Hybrid - Hyderabad,6-11 Yrs,"data science
python
machine learning
statistics
sql
science
machine
data"
Data Scientist,Tech27,Hybrid - Pune,4-9 Yrs,"data science
nosql
hadoop
big data
machine learning
pyspark
hive
spark"
Data Scientist,Tech27,Pune,5-10 Yrs,"nlp
data science
nltk
tensorflow
pytorch
data scientist
natural language processing
genism"
"Opportunity - NLP Data Scientist - Product based MNC, pune",Tech27,Hybrid - Pune,5-10 Yrs,"nltk
natural language processing
machine learning
deep learning
python
data science
pytorch
genism"
Data Scientist,Tech27,Hyderabad,6-10 Yrs,"anaconda
jupyter notebook
python
kubernetes
anaconda enterprise edition
notebook
enterprise
data"
Data Scientist,Tech27,Hyderabad,6-11 Yrs,"model development
data science
azure machine learning
python
generative ai
big data management
time series
ml modelling"
Data Scientist,Tech27,Gurugram(Sector 32 Gurgaon),4-6 Yrs,"azure cloud
natural language processing
machine learning
deep learning
python
data science
azure
r"
Delivery Data Scientist,Tech27,Remote,4-9 Yrs,"it services
computer science
product engineering
coding
consulting
data structures
system design
microsoft"
Delivery Data Scientist (New Grad),Tech27,Remote,1-5 Yrs,"it services
computer science
product engineering
coding
consulting
data structures
system design
microsoft"
Data Scientist,Tech27,Ahmedabad,4-8 Yrs,"data analysis
data science
artificial intelligence
machine learning
statistical analyst
medical insurance
data mining
python"
Data Scientist,Tech27,Ahmedabad,4-10 Yrs,"cvs
sql queries
data analysis
data science
artificial intelligence
machine learning
medical insurance
data mining"
Data Scientist,Tech27,Pune,2-7 Yrs,"r
data scientist
computer science
big data technologies
machine learning
statistical analysis
python
apache spark"
"Data scientist,Pan India",Tech27,Remote,2-3 Yrs,"logistic regression
neural networks
sql database administrator
r programming
machine learning
corporate
power bi
natural language processing"
Data Scientist,Tech27,Pune,8-13 Yrs,"computer science
data analysis
analytical
machine learning
data structures
data mining
forecasting
analytics"
Data Scientist,Tech27,Panaji,2-3 Yrs,"supply chain
computer science
home appliances
project management
analytical
fmcg
ms office
data mining"
AI Data Scientist,Tech27,Ahmedabad,4-10 Yrs,"cvs
operations research
coding
neural networks
management consulting
machine learning
natural language processing
logistics"
Data Scientist,P.S International HR Consultants,Mumbai,3-8 Yrs,"gis
automation
data modeling
performance testing
microsoft
technical support
analytics
sql"
Data Scientist,P.S International HR Consultants,"Puducherry, Chennai",0 Yrs,"data science
ai solutions
artificial intelligence
machine learning
ai platform
linux
web server
python"
DATA ANALYST/ SCIENTIST,P.S International HR Consultants,Mohali,2-6 Yrs,"process automation
business analysis
analytical
process improvement
artificial intelligence
machine learning
data quality
natural language processing"
Data Scientist,P.S International HR Consultants,Remote,1-6 Yrs,"predictive modeling
time series analysis
statistical modeling
cloud platform
python
data science
analysis
data"
Principal Data Scientist - AI Engineering,P.S International HR Consultants,Bengaluru,0-1 Yrs,"mining
leadership development
http
sage
troubleshooting
forecasting
information technology
internship"
Data Scientist / Data Analysis,P.S International HR Consultants,Remote,2-7 Yrs,"data science
data analytics
python development
business acumen
problem solving
analytics
analysis
development"
Lead Analytics Analyst / Data Scientist AFC,P.S International HR Consultants,Bengaluru,0-2 Yrs,"analytical
analytics analyst
finance
money laundering
ms office tools
german
training and development
financial services"
Data Scientist,P.S International HR Consultants,"Noida, Hyderabad, Pune, Ahmedabad, Bengaluru, Delhi / NCR, Mumbai (All Areas)",6-8 Yrs,"data science
arima
sql database
machine learning
deep learning
rnn
lstm
sarima"
Data Scientist,P.S International HR Consultants,Bengaluru,7-10 Yrs,"ml ops
kubeflow
data science
scala
ci/cd
kafka
mlflow
cloud computing"
Data Scientist,P.S International HR Consultants,Hybrid - Bengaluru,5-10 Yrs,"postgresql
snowflake
mysql
data visualization
python
data"
Data Scientist - Bangalore,P.S International HR Consultants,Hybrid - Bengaluru,5-10 Yrs,"snowflake
python
mysql
data scientist
sql
postgresql
data"
